DataExtracao;Ano;Mes;CanalEntrada;Condicao;GrupoEconNorm;Tipo;Servico;Modalidade;Motivo;UF;QtdeSolic
2016-04-28;2006;1;Atendimento Pessoal ;Nova;TIM;Reclamação;Móvel Pessoal;Pré-Pago;Outros;SE;1
2016-04-28;2006;1;Call Center;Nova;ALGAR;Reclamação;Serviço Telefônico Fixo Comutado - STFC;Local;Desbloqueio;SE;1
2016-04-28;2006;1;Call Center;Nova;Anatel;Denúncia;Radiodifusão (Rádio e TV);Rádio Comunitária;Outorga;SE;1
2016-04-28;2006;1;Call Center;Nova;Anatel;Denúncia;Radiodifusão (Rádio e TV);Rádio FM;Interferência;SE;1
2016-04-28;2006;1;Call Center;Nova;Anatel;Pedido de Informação;Limitado Privado;NÃO APLICÁVEL;Licença / Autorização;SE;2
2016-04-28;2006;1;Call Center;Nova;Anatel;Pedido de Informação;Móvel Pessoal;Pré-Pago;Cartão pré-pago;SE;1
2016-04-28;2006;1;Call Center;Nova;Anatel;Pedido de Informação;Móvel Pessoal;Pré-Pago;Código de acesso;SE;1
2016-04-28;2006;1;Call Center;Nova;Anatel;Pedido de Informação;Serviço Telefônico Fixo Comutado - STFC;Local;Cobrança;SE;1
2016-04-28;2006;1;Call Center;Nova;Anatel;Reclamação;Serviços da Anatel;Atendimento;Atuação da Anatel;SE;1
2016-04-28;2006;1;Call Center;Nova;Anatel;Sugestão;Serviço Telefônico Fixo Comutado - STFC;Local;Dados cadastrais;SE;1
2016-04-28;2006;1;Call Center;Nova;CLARO;Reclamação;Móvel Pessoal;Pós-Pago;Atendimento;SE;2
2016-04-28;2006;1;Call Center;Nova;CLARO;Reclamação;Móvel Pessoal;Pós-Pago;Cancelamento;SE;1
2016-04-28;2006;1;Call Center;Nova;CLARO;Reclamação;Móvel Pessoal;Pós-Pago;Cobrança;SE;4
2016-04-28;2006;1;Call Center;Nova;CLARO;Reclamação;Móvel Pessoal;Pós-Pago;Promoções;SE;2
2016-04-28;2006;1;Call Center;Nova;CLARO;Reclamação;Móvel Pessoal;Pré-Pago;Atendimento;SE;6
2016-04-28;2006;1;Call Center;Nova;CLARO;Reclamação;Móvel Pessoal;Pré-Pago;Cobrança;SE;2
2016-04-28;2006;1;Call Center;Nova;CLARO;Reclamação;Móvel Pessoal;Pré-Pago;Promoções;SE;2
2016-04-28;2006;1;Call Center;Nova;CLARO;Reclamação;Móvel Pessoal;Pré-Pago;Serviços Adicionais;SE;2
2016-04-28;2006;1;Call Center;Nova;EMBRATEL;Reclamação;Serviço de Rede e Transporte de Telecomunicações - SRTT;NÃO APLICÁVEL;Serviços Adicionais;SE;1
2016-04-28;2006;1;Call Center;Nova;NET;Reclamação;Serviço Telefônico Fixo Comutado - STFC;Local;Desbloqueio;SE;1
2016-04-28;2006;1;Call Center;Nova;NET;Reclamação;Serviço Telefônico Fixo Comutado - STFC;Local;Instalação de Acessos Individuais;SE;1
2016-04-28;2006;1;Call Center;Nova;NET;Reclamação;Serviço Telefônico Fixo Comutado - STFC;Local;Planos de serviço;SE;1
2016-04-28;2006;1;Call Center;Nova;OI;Reclamação;Móvel Pessoal;Pós-Pago;Atendimento;SE;3
2016-04-28;2006;1;Call Center;Nova;OI;Reclamação;Móvel Pessoal;Pós-Pago;Desbloqueio;SE;2
2016-04-28;2006;1;Call Center;Nova;OI;Reclamação;Móvel Pessoal;Pré-Pago;Cobrança;SE;5
2016-04-28;2006;1;Call Center;Nova;OI;Reclamação;Móvel Pessoal;Pré-Pago;Habilitação;SE;1
2016-04-28;2006;1;Call Center;Nova;OI;Reclamação;Móvel Pessoal;Pré-Pago;Promoções;SE;2
2016-04-28;2006;1;Call Center;Nova;OI;Reclamação;Móvel Pessoal;Pré-Pago;Reparo;SE;1
2016-04-28;2006;1;Call Center;Nova;OI;Reclamação;Serviço Telefônico Fixo Comutado - STFC;Local;Cancelamento;SE;1
